code,family,particle,histories,escaped_rows,escaped_primary_particle_count,escaped_primary_particle_yield,escaped_photon_count,escaped_photon_yield,escaped_480_550_photon_count,escaped_480_550_photon_yield,escaped_w2_photon_count,escaped_w2_photon_yield,mean_escaped_photon_energy_keV,mean_cu_deposit_keV,events_with_cu_deposit_rows
FLUKA,cu64_eplus_smoke,eplus,512,878,0,0.0,877,1.712890625,528,1.03125,490,0.95703125,430.4713529163056,532.1202952972851,512
FLUKA,mono1779_gamma,gamma,256,254,252,0.984375,252,0.984375,8,0.03125,5,0.01953125,1509.9304702460317,286.8654116394531,256
FLUKA,mono2754_gamma,gamma,256,255,254,0.9921875,254,0.9921875,8,0.03125,4,0.015625,2316.824034610236,449.6851163644531,256
FLUKA,mono511_gamma,gamma,512,439,439,0.857421875,439,0.857421875,248,0.484375,231,0.451171875,417.4242830410023,153.09128856984375,512
FLUKA,pair511_gamma,gamma,512,436,435,0.849609375,435,0.849609375,253,0.494140625,236,0.4609375,423.9332204655172,150.55246205833984,512
MEGAlib,cu64_eplus_smoke,eplus,512,864,0,0.0,864,1.6875,538,1.05078125,504,0.984375,439.2306666666667,,
MEGAlib,mono1779_gamma,gamma,256,253,252,0.984375,252,0.984375,12,0.046875,3,0.01171875,1436.2448928571428,,
MEGAlib,mono2754_gamma,gamma,256,267,266,1.0390625,266,1.0390625,16,0.0625,13,0.05078125,2204.003221804511,,
MEGAlib,mono511_gamma,gamma,512,445,445,0.869140625,445,0.869140625,266,0.51953125,245,0.478515625,431.5682629213483,,
MEGAlib,pair511_gamma,gamma,512,449,448,0.875,448,0.875,274,0.53515625,263,0.513671875,428.8032834821429,,
