family,metric,fluka_count,megalib_count,fluka,megalib,fluka_minus_megalib,fluka_over_megalib,relative_delta_vs_megalib,poisson_z_approx
cu64_eplus_smoke,ta_deposit_efficiency,35.0,24.0,0.068359375,0.046875,0.021484375,1.4583333333333333,0.4583333333333333,1.4320780207890627
cu64_eplus_smoke,eff_480_550,10.0,4.0,0.01953125,0.0078125,0.01171875,2.5,1.5,1.6035674514745464
cu64_eplus_smoke,eff_w2_510p58_511p42,9.0,4.0,0.017578125,0.0078125,0.009765625,2.25,1.25,1.386750490563073
mono1779_gamma,ta_deposit_efficiency,6.0,3.0,0.0234375,0.01171875,0.01171875,2.0,1.0,1.0
mono1779_gamma,eff_480_550,1.0,0.0,0.00390625,0.0,0.00390625,n/a,n/a,1.0
mono1779_gamma,eff_w2_510p58_511p42,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
mono2754_gamma,ta_deposit_efficiency,3.0,6.0,0.01171875,0.0234375,-0.01171875,0.5,-0.5,-1.0
mono2754_gamma,eff_480_550,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
mono2754_gamma,eff_w2_510p58_511p42,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
mono511_gamma,ta_deposit_efficiency,10.0,13.0,0.01953125,0.025390625,-0.005859375,0.7692307692307693,-0.23076923076923078,-0.6255432421712244
mono511_gamma,eff_480_550,1.0,1.0,0.001953125,0.001953125,0.0,1.0,0.0,0.0
mono511_gamma,eff_w2_510p58_511p42,1.0,1.0,0.001953125,0.001953125,0.0,1.0,0.0,0.0
pair511_gamma,ta_deposit_efficiency,16.0,17.0,0.03125,0.033203125,-0.001953125,0.9411764705882353,-0.058823529411764705,-0.17407765595569785
pair511_gamma,eff_480_550,3.0,2.0,0.005859375,0.00390625,0.001953125,1.5,0.5,0.4472135954999579
pair511_gamma,eff_w2_510p58_511p42,3.0,2.0,0.005859375,0.00390625,0.001953125,1.5,0.5,0.4472135954999579
