source_volume,selected_histories,selection_fraction,source_rows_represented_activity_Bq
ColdPlate_4K,391829,0.391829,1.8401688967658895710996982167468999999999999999999999999999999999999999999999923
ColdPlate_Still_0p7K,188826,0.188826,0.89191668111207599723777941972400000000000000000000000000000000000000000000000082
ColdPlate_CP_100mK_intercept,95876,0.095876,0.45138858196186340088099253016190000000000000000000000000000000000000000000000075
ColdPlate_MXC_50mK_SD_anchor,84445,0.084445,0.39640762262525436513350587930000000000000000000000000000000000000000000000000090
Cu_50mK_StillLike_Can_side_wall_rectcut_window_band,31280,0.03128,0.14729529813301403635953899959999999999999999999999999999999999999999999999999990
DR_Still_Pot_Cu,28450,0.02845,0.13439823989680554383074039726190000000000000000000000000000000000000000000000004
Cu_50mK_StillLike_Can_bottom_cap_2mm,26982,0.026982,0.12693189286116877787665342370000000000000000000000000000000000000000000000000018
Cu_50mK_StillLike_Can_side_wall_above_side_port,26299,0.026299,0.12353799198252790146283916100000000000000000000000000000000000000000000000000010
DR_Capillary_CuNi_4K_60K,17915,0.017915,0.084168741790293735062593714090000000000000000000000000000000000000000000000000004
DR_4K_Condenser_Cu,17828,0.017828,0.082811181438837384497068009030000000000000000000000000000000000000000000000000028
Cu_50mK_StillLike_Can_side_wall_below_side_port,17795,0.017795,0.082811181438837384497068009030000000000000000000000000000000000000000000000000028
DR_Capillary_CuNi_Still_4K,16721,0.016721,0.078738500384468332800490893819999999999999999999999999999999999999999999999999975
DR_MixingChamber_Cu,14457,0.014457,0.067199237397089352993522400759999999999999999999999999999999999999999999999999975
DR_Continuous_HEX_CuNi_CP_to_Still,13913,0.013913,0.065162896869904827145233843169999999999999999999999999999999999999999999999999973
DR_Continuous_HEX_CuNi_MXC_to_CP,9197,0.009197,0.04344193124660321809682256211000000
Cu_SubstrateSupport_SolidDisk_L0_deepest,4708,0.004708,0.022399745799029784331174133579999999999999999999999999999999999999999999999999995
PreCool_FlexLink_Cu_remote_interface,3312,0.003312,0.015611944041748031503545608260000000000000000000000000000000000000000000000000003
DR_Capillary_CuNi_CP_Still,2992,0.002992,0.014254383690291680938019903189999999999999999999999999999999999999999999999999999
DR_Capillary_CuNi_MXC_CP,1835,0.001835,0.0081453621087381033931542303950000000000000000000000000000000000000000000000000003
Cu_SubstrateSupport_OpenRing_L5_YP_panel,432,0.000432,0.002036340527184525848288557599
Cu_SubstrateSupport_OpenRing_L1_YP_panel,430,0.00043,0.002036340527184525848288557599
Cu_ColdFinger_Stem_YP_ZM_to_MXC,419,0.000419,0.002036340527184525848288557599
Cu_SubstrateSupport_OpenRing_L3_ZP_panel,407,0.000407,0.002036340527184525848288557599
Cu_SubstrateSupport_OpenRing_L5_ZP_panel,305,0.000305,0.001357560351456350565525705066
Cu_SubstrateSupport_OpenRing_L4_YP_panel,304,0.000304,0.001357560351456350565525705066
Cu_SubstrateSupport_OpenRing_L2_ZP_panel,298,0.000298,0.0013573254540831884092213007949
Cu_SubstrateSupport_OpenRing_L2_YM_panel,283,0.000283,0.001357560351456350565525705066
Cu_SubstrateSupport_OpenRing_L4_ZM_panel,277,0.000277,0.001357560351456350565525705066
Cu_ColdFinger_Stem_YP_ZP_to_MXC,158,0.000158,0.000678780175728175282762852533
Cu_ColdFinger_OffAxis_YM_ZM_from_Disk_to_Stem,156,0.000156,0.000678780175728175282762852533
Cu_MXC_Clamp_Pad_YM_ZP_for_OffAxisStem,156,0.000156,0.000678780175728175282762852533
Cu_SubstrateSupport_OpenRing_L3_YM_panel,153,0.000153,0.000678780175728175282762852533
Cu_ColdFinger_OffAxis_YM_ZP_from_Disk_to_Stem,152,0.000152,0.000678780175728175282762852533
Cu_ColdFinger_Stem_YM_ZM_to_MXC,150,0.00015,0.000678780175728175282762852533
Cu_ColdFinger_Stem_YM_ZP_to_MXC,147,0.000147,0.000678780175728175282762852533
Cu_ColdFinger_OffAxis_YP_ZP_from_Disk_to_Stem,145,0.000145,0.000678780175728175282762852533
Cu_MXC_Clamp_Pad_YP_ZP_for_OffAxisStem,141,0.000141,0.000678780175728175282762852533
Cu_SubstrateSupport_OpenRing_L1_YM_panel,140,0.00014,0.000678780175728175282762852533
Cu_SubstrateSupport_OpenRing_L3_ZM_panel,139,0.000139,0.000678780175728175282762852533
Cu_SubstrateSupport_OpenRing_L4_ZP_panel,139,0.000139,0.000678780175728175282762852533
Cu_SubstrateSupport_OpenRing_L1_ZP_panel,137,0.000137,0.000678780175728175282762852533
Cu_SubstrateSupport_OpenRing_L2_YP_panel,137,0.000137,0.000678780175728175282762852533
Cu_MXC_Clamp_Pad_YP_ZM_for_OffAxisStem,135,0.000135,0.000678780175728175282762852533
