region_kind,secondary,parent,creator_process,step_process,hit_rows,histories_with_hit,deposit_keV_sum
ACTIVE_SHIELD,e-,gamma,phot,eIoni,206,55,12368.017405499997
ACTIVE_SHIELD,e-,gamma,compt,eIoni,83,33,5901.421540400001
ACTIVE_SHIELD,e-,e-,eIoni,eIoni,40,29,1492.1470899999997
ACTIVE_SHIELD,e-,gamma,phot,eBrem,5,5,250.27895
ACTIVE_SHIELD,gamma,e+,annihil,phot,55,52,238.33196999999996
ACTIVE_SHIELD,gamma,gamma,phot,phot,58,45,237.68636
ACTIVE_SHIELD,e-,gamma,compt,eBrem,3,3,193.49063999999998
ACTIVE_SHIELD,e-,gamma,phot,msc,4,1,183.55409
ACTIVE_SHIELD,gamma,e-,eBrem,phot,10,10,41.63298
ACTIVE_SHIELD,gamma,e+,annihil,compt,49,31,36.73807
ACTIVE_SHIELD,e-,e-,eIoni,eBrem,1,1,36.53288
ACTIVE_SHIELD,gamma,e-,eIoni,phot,8,8,22.84218
ACTIVE_SHIELD,e-,gamma,compt,msc,4,1,17.7233548
ACTIVE_SHIELD,gamma,Ni64[1345.750],RadioactiveDecay,compt,1,1,5.3632
ACTIVE_SHIELD,gamma,Ni64[1345.750],RadioactiveDecay,phot,2,2,4.56413
ACTIVE_SHIELD,gamma,gamma,phot,compt,1,1,0.13421
ACTIVE_SHIELD,e-,gamma,compt,Transportation,1,1,0.006237199
OTHER,e-,Cu64,RadioactiveDecay,eIoni,1626,837,70614.55495721997
OTHER,e-,gamma,compt,eIoni,702,149,58093.62904919999
OTHER,e+,Cu64,RadioactiveDecay,eIoni,232,159,28971.841800700004
OTHER,e-,gamma,phot,eIoni,437,276,17719.220357400012
OTHER,e-,e-,eIoni,eIoni,112,89,5535.452629999999
OTHER,e-,Cu64,RadioactiveDecay,msc,260,16,1718.5316241900018
OTHER,e-,e+,eIoni,eIoni,27,24,1665.2484399999998
OTHER,e+,Cu64,RadioactiveDecay,msc,201,9,1563.4997341539997
OTHER,e-,gamma,compt,eBrem,22,19,1310.5679010000001
OTHER,e-,gamma,compt,msc,155,14,1117.9094890999997
OTHER,e-,gamma,phot,msc,128,5,846.0547164129999
OTHER,e-,Cu64,RadioactiveDecay,eBrem,13,13,598.6016345
OTHER,gamma,e+,annihil,phot,90,74,443.75651999999985
OTHER,e+,Cu64,RadioactiveDecay,eBrem,5,5,298.67589
OTHER,gamma,e+,annihil,compt,516,145,293.00180000000023
OTHER,e-,gamma,phot,eBrem,2,2,213.63736
OTHER,gamma,gamma,phot,phot,56,46,166.16699000000003
OTHER,e+,Cu64,RadioactiveDecay,annihil,4,4,163.68856
OTHER,gamma,Cu64,RadioactiveDecay,phot,145,143,127.87696000000001
OTHER,gamma,e-,eBrem,phot,36,33,122.96632999999999
OTHER,e-,e-,eIoni,msc,27,2,67.88176200000001
OTHER,gamma,e-,eIoni,phot,57,48,41.608290000000004
OTHER,gamma,e+,eIoni,phot,14,12,11.50514
OTHER,Ni64,Cu64,RadioactiveDecay,ionIoni,588,588,10.579778526980052
OTHER,gamma,Ni64[1345.750],RadioactiveDecay,phot,1,1,10.206
OTHER,gamma,e+,eBrem,phot,5,5,10.183990000000001
OTHER,gamma,gamma,compt,phot,10,9,8.21086
OTHER,e-,e+,eIoni,msc,16,1,6.4194368
OTHER,e-,e-,eIoni,eBrem,1,1,4.281958
OTHER,Zn64,Cu64,RadioactiveDecay,ionIoni,400,400,1.3770564577800004
OTHER,gamma,Ni64[1345.750],RadioactiveDecay,compt,7,4,0.46135
OTHER,Ni64,Ni64[1345.750],RadioactiveDecay,ionIoni,12,12,0.18251699999999996
OTHER,gamma,gamma,phot,compt,2,2,0.16634
OTHER,e+,Cu64,RadioactiveDecay,Transportation,7,4,0.14975181699999998
OTHER,e-,Cu64,RadioactiveDecay,Transportation,5,3,0.019419904800000002
OTHER,e-,gamma,phot,Transportation,2,1,0.010260045
OTHER,Ni64[1345.750],Cu64,RadioactiveDecay,ionIoni,10,10,0.0087381705
OTHER,Ni64[1345.750],Cu64,RadioactiveDecay,RadioactiveDecay,2,2,0.0017632483
TES_PIXEL,e-,gamma,phot,eIoni,5,2,605.2936900000001
TES_PIXEL,e-,gamma,compt,eIoni,1,1,76.36037
TES_PIXEL,gamma,gamma,phot,phot,2,2,23.312
TES_PIXEL,gamma,e+,annihil,phot,2,2,22.326
TES_PIXEL,gamma,e+,annihil,compt,1,1,0.04189
