history_id,volume,region_kind,x_cm,y_cm,z_cm,deposit_keV,time_s,secondary,track_id,parent_track_id,step_process,primary,parent,creator_process,primary_id
271,TP_L0_00126,TES_PIXEL,-5.668166,-0.4345128,-1.213393,11.163,2.224195e-10,gamma,6,4,phot,Cu64,e+,annihil,1
271,TP_L0_00126,TES_PIXEL,-5.67467,-0.4351585,-1.233934,11.656,2.227373e-10,gamma,11,6,phot,Cu64,gamma,phot,1
271,TP_L0_00126,TES_PIXEL,-5.675196,-0.428502,-1.22714,44.746,2.227406e-10,e-,12,11,eIoni,Cu64,gamma,phot,1
271,TP_L0_00126,TES_PIXEL,-5.67467,-0.4351585,-1.233934,72.36779,2.224252e-10,e-,10,6,eIoni,Cu64,gamma,phot,1
323,TP_L1_00119,TES_PIXEL,-5.605302,-0.4447478,-2.847585,11.163,6.649062e-10,gamma,7,4,phot,Cu64,e+,annihil,1
323,TP_L1_00119,TES_PIXEL,-5.445107,-0.509012,-2.945245,11.656,6.651998e-10,gamma,12,7,phot,Cu64,gamma,phot,1
323,TP_L1_00119,TES_PIXEL,-5.451607,-0.5133161,-2.941158,44.746,6.652031e-10,e-,13,12,eIoni,Cu64,gamma,phot,1
323,TP_L1_00119,TES_PIXEL,-5.445107,-0.509012,-2.945245,324.1741,6.649578e-10,e-,11,7,eIoni,Cu64,gamma,phot,1
323,TP_L1_00119,TES_PIXEL,-5.444038,-0.5094676,-2.94584,119.2598,6.649679e-10,e-,11,7,eIoni,Cu64,gamma,phot,1
949,TP_L4_00155,TES_PIXEL,-1.15584,-0.3351104,-3.913556,0.04189,3.535246e-10,gamma,5,4,compt,Cu64,e+,annihil,1
949,TP_L4_00155,TES_PIXEL,-1.159402,-0.3417932,-3.912213,76.36037,3.535306e-10,e-,10,5,eIoni,Cu64,gamma,compt,1
