code,metric,stage,events,min_margin_cm,p10_margin_cm,median_margin_cm,p90_margin_cm,max_margin_cm,events_lt_1e-3_cm,events_lt_1e-2_cm,events_lt_5e-2_cm
fluka,all_tes_gt0,active_veto,4434,2.974707148e-05,0.016133521655000004,0.08032194933,0.22320088709000013,0.8082757644,13,179,1496
megalib,all_tes_gt0,active_veto,1609,2.974707148e-05,0.01619485961,0.08571778552,0.2424690852,0.8082757644,7,84,478
fluka,all_tes_gt0,raw,6566,2.974707148e-05,0.0148266682,0.07720113355,0.221840659,0.8082757644,22,323,2328
megalib,all_tes_gt0,raw,2797,2.974707148e-05,0.014474204800000001,0.072775,0.2288438446,0.8082757644,12,181,1009
fluka,e480_550,active_veto,779,2.974707148e-05,0.01494970015,0.08000302919,0.2612463043,0.8082300717,4,45,241
megalib,e480_550,active_veto,606,2.974707148e-05,0.01662743817,0.08032194933,0.23529988285,0.5538012344,3,25,198
fluka,e480_550,raw,1470,2.974707148e-05,0.013774953007,0.07199350662,0.24627802261000004,0.8082300717,6,106,544
megalib,e480_550,raw,1072,2.974707148e-05,0.01377568229,0.067227298175,0.20974008236,0.8082300717,4,65,429
fluka,w2_510p58_511p42,active_veto,662,2.974707148e-05,0.014838971395000003,0.07921275804,0.2617233375,0.7143108979,3,41,208
megalib,w2_510p58_511p42,active_veto,563,2.974707148e-05,0.016267702720000003,0.07956108225,0.2332544281,0.5538012344,3,22,189
fluka,w2_510p58_511p42,raw,1269,2.974707148e-05,0.01376838946,0.07177505401,0.24629757482000003,0.7143108979,5,94,471
megalib,w2_510p58_511p42,raw,1008,2.974707148e-05,0.013572152230000002,0.06294805601,0.20887499354000003,0.8082300717,4,60,411
