code,metric,metric_label,stage,histories,events,sum_w,sum_w2,n_eff,efficiency_per_parent,efficiency_sigma
fluka,all_tes_gt0,all TES > 0,raw,1000000,6566,6566.0,6566.0,6566.0,0.006566,8.076439589323999e-05
fluka,all_tes_gt0,all TES > 0,active_veto,1000000,4434,4434.0,4434.0,4434.0,0.004434,6.644049701800853e-05
fluka,e480_550,480-550 keV,raw,1000000,1470,1470.0,1470.0,1470.0,0.00147,3.8312388335889475e-05
fluka,e480_550,480-550 keV,active_veto,1000000,779,779.0,779.0,779.0,0.000779,2.7899698188331716e-05
fluka,w2_510p58_511p42,W2 510.58-511.42 keV,raw,1000000,1269,1269.0,1269.0,1269.0,0.001269,3.56004162756561e-05
fluka,w2_510p58_511p42,W2 510.58-511.42 keV,active_veto,1000000,662,662.0,662.0,662.0,0.000662,2.5720842832224607e-05
fluka,e1500_3000,1500-3000 keV,raw,1000000,1,1.0,1.0,1.0,1e-06,9.999994999998751e-07
fluka,e1500_3000,1500-3000 keV,active_veto,1000000,1,1.0,1.0,1.0,1e-06,9.999994999998751e-07
fluka,e3000_10000,3000-10000 keV,raw,1000000,0,0.0,0.0,0.0,0.0,0.0
fluka,e3000_10000,3000-10000 keV,active_veto,1000000,0,0.0,0.0,0.0,0.0,0.0
fluka,w2_expected,W2 analytic Gaussian expectation,raw,1000000,,1265.993289948566,1262.2301306155227,1269.7676686051082,0.001265993289948566,3.5527878217190546e-05
fluka,w2_expected,W2 analytic Gaussian expectation,active_veto,1000000,,660.6923342297791,658.6434396417412,662.7476024773424,0.0006606923342297791,2.5664049556563385e-05
megalib,all_tes_gt0,all TES > 0,raw,1000000,2797,2797.0,2797.0,2797.0,0.002797,5.281265748852258e-05
megalib,all_tes_gt0,all TES > 0,active_veto,1000000,1609,1609.0,1609.0,1609.0,0.001609,4.008005886971725e-05
megalib,e480_550,480-550 keV,raw,1000000,1072,1072.0,1072.0,1072.0,0.001072,3.272385698538606e-05
megalib,e480_550,480-550 keV,active_veto,1000000,606,606.0,606.0,606.0,0.000606,2.4609607148428844e-05
megalib,w2_510p58_511p42,W2 510.58-511.42 keV,raw,1000000,1008,1008.0,1008.0,1008.0,0.001008,3.1733010194433184e-05
megalib,w2_510p58_511p42,W2 510.58-511.42 keV,active_veto,1000000,563,563.0,563.0,563.0,0.000563,2.37209407697081e-05
megalib,e1500_3000,1500-3000 keV,raw,1000000,0,0.0,0.0,0.0,0.0,0.0
megalib,e1500_3000,1500-3000 keV,active_veto,1000000,0,0.0,0.0,0.0,0.0,0.0
megalib,e3000_10000,3000-10000 keV,raw,1000000,0,0.0,0.0,0.0,0.0,0.0
megalib,e3000_10000,3000-10000 keV,active_veto,1000000,0,0.0,0.0,0.0,0.0,0.0
megalib,w2_expected,W2 analytic Gaussian expectation,raw,1000000,,1005.1891416209602,1002.2487225081107,1008.1381873993918,0.0010051891416209603,3.165831206031223e-05
megalib,w2_expected,W2 analytic Gaussian expectation,active_veto,1000000,,561.3023520380557,559.6411699824625,562.968464977883,0.0005613023520380557,2.365673624958571e-05
