code,event_definition,metric,metric_label,stage,selected_events,single_tes_pixel_events,multi_tes_pixel_events,mean_tes_pixels,active_shield_touched_events,side_shield_touched_events,top_shield_touched_events
fluka,parent,all_tes_gt0,all TES > 0,active_veto,4434,3464,970,1.3071718538565629,60,43,13
fluka,parent,all_tes_gt0,all TES > 0,raw,6566,4890,1676,1.351507767286019,2192,1584,437
fluka,parent,e480_550,480-550 keV,active_veto,779,451,328,1.5314505776636713,18,14,3
fluka,parent,e480_550,480-550 keV,raw,1470,827,643,1.5571428571428572,709,495,139
fluka,parent,w2_510p58_511p42,W2 510.58-511.42 keV,active_veto,662,412,250,1.445619335347432,17,14,2
fluka,parent,w2_510p58_511p42,W2 510.58-511.42 keV,raw,1269,767,502,1.4814814814814814,624,434,123
fluka,within_1ns,all_tes_gt0,all TES > 0,active_veto,4434,3464,970,1.3071718538565629,60,43,13
fluka,within_1ns,all_tes_gt0,all TES > 0,raw,6566,4890,1676,1.351507767286019,2192,1584,437
fluka,within_1ns,e480_550,480-550 keV,active_veto,779,451,328,1.5314505776636713,18,14,3
fluka,within_1ns,e480_550,480-550 keV,raw,1470,827,643,1.5571428571428572,709,495,139
fluka,within_1ns,w2_510p58_511p42,W2 510.58-511.42 keV,active_veto,662,412,250,1.445619335347432,17,14,2
fluka,within_1ns,w2_510p58_511p42,W2 510.58-511.42 keV,raw,1269,767,502,1.4814814814814814,624,434,123
fluka,within_1us,all_tes_gt0,all TES > 0,active_veto,4434,3464,970,1.3071718538565629,60,43,13
fluka,within_1us,all_tes_gt0,all TES > 0,raw,6566,4890,1676,1.351507767286019,2192,1584,437
fluka,within_1us,e480_550,480-550 keV,active_veto,779,451,328,1.5314505776636713,18,14,3
fluka,within_1us,e480_550,480-550 keV,raw,1470,827,643,1.5571428571428572,709,495,139
fluka,within_1us,w2_510p58_511p42,W2 510.58-511.42 keV,active_veto,662,412,250,1.445619335347432,17,14,2
fluka,within_1us,w2_510p58_511p42,W2 510.58-511.42 keV,raw,1269,767,502,1.4814814814814814,624,434,123
megalib,parent,all_tes_gt0,all TES > 0,active_veto,1609,1153,456,1.3486637663144811,36,30,4
megalib,parent,all_tes_gt0,all TES > 0,raw,2797,2037,760,1.3257061136932426,1224,878,202
megalib,parent,e480_550,480-550 keV,active_veto,606,361,245,1.50990099009901,11,9,1
megalib,parent,e480_550,480-550 keV,raw,1072,657,415,1.4776119402985075,477,329,72
megalib,parent,w2_510p58_511p42,W2 510.58-511.42 keV,active_veto,563,342,221,1.4991119005328597,10,8,1
megalib,parent,w2_510p58_511p42,W2 510.58-511.42 keV,raw,1008,625,383,1.4682539682539681,455,312,70
megalib,within_1ns,all_tes_gt0,all TES > 0,active_veto,1618,1159,459,1.3491965389369591,37,31,4
megalib,within_1ns,all_tes_gt0,all TES > 0,raw,2797,2037,760,1.3257061136932426,1216,869,201
megalib,within_1ns,e480_550,480-550 keV,active_veto,611,363,248,1.5122749590834696,12,10,1
megalib,within_1ns,e480_550,480-550 keV,raw,1072,657,415,1.4776119402985075,473,325,72
megalib,within_1ns,w2_510p58_511p42,W2 510.58-511.42 keV,active_veto,568,344,224,1.5017605633802817,11,9,1
megalib,within_1ns,w2_510p58_511p42,W2 510.58-511.42 keV,raw,1008,625,383,1.4682539682539681,451,308,70
megalib,within_1us,all_tes_gt0,all TES > 0,active_veto,1609,1153,456,1.3486637663144811,36,30,4
megalib,within_1us,all_tes_gt0,all TES > 0,raw,2797,2037,760,1.3257061136932426,1224,878,202
megalib,within_1us,e480_550,480-550 keV,active_veto,606,361,245,1.50990099009901,11,9,1
megalib,within_1us,e480_550,480-550 keV,raw,1072,657,415,1.4776119402985075,477,329,72
megalib,within_1us,w2_510p58_511p42,W2 510.58-511.42 keV,active_veto,563,342,221,1.4991119005328597,10,8,1
megalib,within_1us,w2_510p58_511p42,W2 510.58-511.42 keV,raw,1008,625,383,1.4682539682539681,455,312,70
